         ps   /tdc_tb/tdc/dm_inst/out_mod      
             /tdc_tb/tdc/dm_inst/out_signal    
   78685000                             1 0 
   78785000                             1 1 
   78885000                             1 0 
   78985000                             1 1 
   79085000                             1 0 
   79185000                             1 1 
   79285000                             1 0 
   79385000                             1 1 
   79485000                             1 0 
   79585000                             1 1 
   79685000                             1 0 
   79785000                             1 1 
   79885000                             1 0 
   79985000                             1 1 
   80085000                             1 0 
   80185000                             1 1 
   80285000                             1 0 
   80385000                             1 1 
   80485000                             1 0 
   80585000                             1 1 
   80685000                             1 0 
   80785000                             1 1 
   80885000                             1 0 
   80985000                             1 1 
   81085000                             1 0 
   81185000                             1 1 
   81285000                             1 0 
   81385000                             1 1 
   81485000                             1 0 
   81585000                             1 1 
   81685000                             1 0 
   81785000                             1 1 
   81885000                             1 0 
   81985000                             1 1 
   82085000                             1 0 
   82185000                             1 1 
   82285000                             1 0 
   82385000                             1 1 
   82485000                             1 0 
   82585000                             1 1 
   82685000                             1 0 
   82785000                             1 1 
   82885000                             1 0 
   82985000                             1 1 
   83085000                             1 0 
   83185000                             1 1 
   83285000                             1 0 
   83385000                             1 1 
   83485000                             1 0 
   83585000                             1 1 
   83685000                             1 0 
   83785000                             1 1 
   83885000                             1 0 
   83985000                             1 1 
   84085000                             1 0 
   84185000                             1 1 
   84285000                             1 0 
   84385000                             1 1 
   84485000                             1 0 
   84585000                             1 1 
   84685000                             1 0 
   84785000                             1 1 
   84885000                             1 0 
   84985000                             1 1 
   85085000                             1 0 
   85185000                             1 1 
   85285000                             1 0 
   85385000                             1 1 
   85485000                             1 0 
   85585000                             1 1 
   85685000                             1 0 
   85785000                             1 1 
   85885000                             1 0 
   85985000                             1 1 
   86085000                             1 0 
   86185000                             1 1 
   86285000                             1 0 
   86385000                             1 1 
   86485000                             1 0 
   86585000                             1 1 
   86685000                             1 0 
   86785000                             1 1 
   86885000                             1 0 
   86985000                             1 1 
   87085000                             1 0 
   87185000                             1 1 
   87285000                             1 0 
   87385000                             1 1 
   87485000                             1 0 
   87585000                             1 1 
   87685000                             1 0 
   87785000                             1 1 
   87885000                             1 0 
   87985000                             1 1 
   88085000                             1 0 
   88185000                             1 1 
   88285000                             1 0 
   88385000                             1 1 
   88485000                             1 0 
   88585000                             1 1 
   88685000                             1 0 
   88785000                             1 1 
   88885000                             1 0 
   88985000                             1 1 
   89085000                             1 0 
   89185000                             1 1 
   89285000                             1 0 
   89385000                             1 1 
   89485000                             1 0 
   89585000                             1 1 
   89685000                             1 0 
   89785000                             1 1 
   89885000                             1 0 
   89985000                             1 1 
   90085000                             1 0 
   90185000                             1 1 
